"","time","S","E","I","R"
"1028",11.27,113528669.791344,0.137856713997513,7.04971543922191,41.2701752027877
"1029",11.28,113518018.150167,0.13716794942168,7.03815328927659,41.2769987768534
"1030",11.29,113507367.5741,0.136483225127695,7.0266087198129,41.2838024166426
"1031",11.3,113496718.063038,0.135802517349225,7.01508171304431,41.2905861617835
"1032",11.31,113486069.616874,0.135125802459745,7.00357225114344,41.2973500518075
"1033",11.32,113475422.235501,0.134453056971716,6.99208031624261,41.3040941261491
"1034",11.33,113464775.918813,0.133784257535767,6.98060589043428,41.3108184241468
"1035",11.34,113454130.666703,0.133119380939884,6.96914895577153,41.3175229850426
"1036",11.35,113443486.479065,0.132458404108597,6.95770949426859,41.3242078479833
"1037",11.36,113432843.355793,0.131801304102185,6.94628748790125,41.33087305202
"1038",11.37,113422201.296781,0.131148058115869,6.93488291860735,41.3375186361092
"1039",11.38,113411560.30192,0.130498643479024,6.92349576828727,41.3441446391122
"1040",11.39,113400920.371107,0.129853037654387,6.91212601880438,41.3507510997964
"1041",11.4,113390281.504233,0.129211218237274,6.90077365198549,41.357338056835
"1042",11.41,113379643.701192,0.128573162954799,6.88943864962132,41.3639055488074
"1043",11.42,113369006.961879,0.127938849665097,6.87812099346697,41.3704536141998
"1044",11.43,113358371.286186,0.127308256356559,6.86682066524234,41.3769822914053
"1045",11.44,113347736.674008,0.126681361147059,6.8555376466326,41.3834916187242
"1046",11.45,113337103.125238,0.126058142283197,6.84427191928863,41.3899816343645
"1047",11.46,113326470.639769,0.125438578139539,6.83302346482747,41.3964523764419
"1048",11.47,113315839.217496,0.124822647217866,6.82179226483274,41.4029038829807
"1049",11.48,113305208.858312,0.124210328146425,6.81057830085511,41.4093361919132
"1050",11.49,113294579.562111,0.123601599679184,6.79938155441271,41.4157493410811
"1051",11.5,113283951.328787,0.122996440695094,6.78820200699155,41.4221433682349
"1052",11.51,113273324.158232,0.122394830197354,6.77703964004599,41.4285183110346
"1053",11.52,113262698.050342,0.121796747312678,6.76589443499911,41.4348742070502
"1054",11.53,113252073.005009,0.12120217129057,6.75476637324319,41.4412110937615
"1055",11.54,113241449.022127,0.120611081502603,6.74365543614008,41.447529008559
"1056",11.55,113230826.101591,0.120023457441696,6.73256160502166,41.4538279887435
"1057",11.56,113220204.243294,0.119439278721407,6.7214848611902,41.4601080715271
"1058",11.57,113209583.447129,0.118858525075217,6.71042518591883,41.4663692940333
"1059",11.58,113198963.712991,0.118281176355829,6.6993825604519,41.4726116932968
"1060",11.59,113188345.040774,0.117707212534463,6.68835696600541,41.4788353062645
"1061",11.6,113177727.43037,0.117136613700164,6.67734838376742,41.4850401697955
"1062",11.61,113167110.881674,0.116569360059103,6.66635679489841,41.4912263206612
"1063",11.62,113156495.394581,0.116005431933891,6.65538218053174,41.497393795546
"1064",11.63,113145880.968982,0.115444809762894,6.64442452177398,41.5035426310472
"1065",11.64,113135267.604774,0.114887474099552,6.63348379970533,41.5096728636756
"1066",11.65,113124655.301848,0.114333405611702,6.62255999538003,41.5157845298556
"1067",11.66,113114044.0601,0.113782585080905,6.61165308982669,41.5218776659257
"1068",11.67,113103433.879424,0.113234993401774,6.60076306404875,41.5279523081383
"1069",11.68,113092824.759712,0.112690611581316,6.58988989902477,41.5340084926607
"1070",11.69,113082216.700859,0.112149420738265,6.57903357570889,41.5400462555749
"1071",11.7,113071609.702759,0.111611402102424,6.56819407503116,41.5460656328778
"1072",11.71,113061003.765305,0.111076537014017,6.55737137789793,41.5520666604819
"1073",11.72,113050398.888393,0.110544806923036,6.54656546519221,41.5580493742153
"1074",11.73,113039795.071915,0.110016193388595,6.53577631777404,41.5640138098221
"1075",11.74,113029192.315766,0.109490678078289,6.52500391648086,41.5699600029625
"1076",11.75,113018590.619839,0.108968242767555,6.51424824212787,41.5758879892132
"1077",11.76,113007989.984029,0.108448869339039,6.50350927550839,41.5817978040679
"1078",11.77,112997390.40823,0.107932539781964,6.49278699739422,41.587689482937
"1079",11.78,112986791.892335,0.107419236191505,6.482081388536,41.5935630611484
"1080",11.79,112976194.436238,0.106908940768162,6.47139242966352,41.5994185739478
"1081",11.8,112965598.039835,0.106401635817146,6.46072010148616,41.6052560564984
"1082",11.81,112955002.703018,0.105897303747755,6.45006438469313,41.6110755438818
"1083",11.82,112944408.425682,0.105395927072772,6.43942525995391,41.6168770710978
"1084",11.83,112933815.20772,0.104897488407847,6.42880270791853,41.622660673065
"1085",11.84,112923223.049028,0.104401970470896,6.41819670921794,41.628426384621
"1086",11.85,112912631.949498,0.1039093560815,6.40760724446432,41.6341742405225
"1087",11.86,112902041.909025,0.103419628160305,6.39703429425147,41.6399042754457
"1088",11.87,112891452.927504,0.102932769728429,6.38647783915508,41.6456165239865
"1089",11.88,112880865.004827,0.102448763906871,6.37593785973311,41.6513110206608
"1090",11.89,112870278.140891,0.101967593915921,6.36541433652607,41.6569877999049
"1091",11.9,112859692.335587,0.101489243074579,6.35490725005741,41.6626468960754
"1092",11.91,112849107.588811,0.101013694799973,6.34441658083378,41.6682883434497
"1093",11.92,112838523.900457,0.100540932606781,6.3339423093454,41.6739121762264
"1094",11.93,112827941.270419,0.100070940106659,6.32348441606635,41.6795184285253
"1095",11.94,112817359.698591,0.0996037010076683,6.3130428814549,41.6851071343876
"1096",11.95,112806779.184867,0.09913919911371,6.30261768595382,41.6906783277764
